frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
99,Nose,231.599,526.498,0.942394,440.382,517.419,0.885575
100,Nose,231.553,526.428,0.946132,444.825,517.549,0.916176
101,Nose,227.316,526.503,0.954586,444.927,517.442,0.918296
102,Nose,227.319,526.442,0.958368,449.285,517.382,0.930963
103,Nose,227.275,522.291,0.953459,449.395,513.03,0.943614
104,Nose,227.204,526.393,0.956534,449.495,517.43,0.961968
105,Nose,227.145,526.421,0.946193,449.557,517.447,0.969111
106,Nose,227.128,526.415,0.946488,449.667,517.501,0.965036
107,Nose,222.775,526.457,0.934169,449.715,517.545,0.964248
108,Nose,222.756,526.526,0.933613,449.694,517.564,0.964674
109,Nose,222.748,526.504,0.933219,449.679,517.562,0.964355
110,Nose,222.716,526.465,0.934914,449.705,517.562,0.961354
111,Nose,222.713,526.465,0.932606,449.669,517.55,0.966849
112,Nose,222.674,526.391,0.932756,449.633,517.458,0.963103
113,Nose,222.653,522.18,0.935478,449.556,517.455,0.962211
114,Nose,222.704,522.238,0.944501,449.501,517.486,0.963723
115,Nose,222.736,522.22,0.945516,449.465,517.402,0.953082
116,Nose,222.735,522.137,0.941089,449.454,513.051,0.944704
117,Nose,222.743,522.133,0.942263,449.431,513.006,0.939023
118,Nose,222.713,522.095,0.938289,449.374,512.909,0.920168
119,Nose,222.759,522.018,0.93521,449.372,512.937,0.916271
120,Nose,222.806,522.163,0.94578,449.404,508.544,0.917819
121,Nose,222.797,522.244,0.948563,449.287,508.486,0.896042
122,Nose,227.082,526.437,0.950883,445.05,508.422,0.884296
123,Nose,227.149,522.275,0.95284,449.232,508.48,0.885015
124,Nose,227.212,526.477,0.966783,445.049,508.384,0.882649
125,Nose,227.347,526.505,0.97762,444.996,503.983,0.877944
126,Nose,231.634,526.689,0.979488,444.988,503.921,0.879994
127,Nose,231.664,526.687,0.987296,444.941,503.86,0.874814
128,Nose,231.668,526.637,0.993071,444.895,503.903,0.863948
129,Nose,231.758,526.698,0.988636,444.81,503.928,0.855441
130,Nose,231.763,526.708,0.988529,440.494,499.52,0.85062
131,Nose,231.778,526.712,0.983884,440.438,503.912,0.845189
132,Nose,231.812,531.077,0.962631,440.407,503.99,0.846282
133,Nose,231.807,526.768,0.975793,440.315,508.476,0.839532
134,Nose,231.821,526.775,0.977029,435.918,508.553,0.837481
135,Nose,231.756,526.762,0.950543,435.891,508.55,0.836687
136,Nose,231.743,526.694,0.947907,435.916,508.464,0.832246
137,Nose,231.729,531.088,0.90233,435.917,508.438,0.836763
138,Nose,231.749,531.241,0.893622,435.904,508.526,0.840763
139,Nose,231.654,531.081,0.897945,435.868,512.923,0.842743
140,Nose,231.734,535.657,0.840499,435.835,512.984,0.855252
141,Nose,231.658,535.625,0.837048,435.841,512.887,0.843448
142,Nose,231.704,535.724,0.782701,435.88,512.935,0.85327
143,Nose,231.653,540.171,0.745146,435.904,512.985,0.862002
144,Nose,231.674,544.716,0.565694,435.942,512.935,0.855699
145,Nose,231.647,540.284,0.723792,435.951,508.552,0.854841
146,Nose,231.622,540.216,0.765761,435.918,512.949,0.854776
147,Nose,231.565,544.711,0.724241,440.348,508.542,0.856823
148,Nose,231.609,540.19,0.585475,440.451,513.02,0.881332
149,Nose,231.64,535.807,0.528258,440.513,513.034,0.886647
150,Nose,231.602,540.138,0.507074,444.846,513.05,0.899849
151,Nose,231.634,544.691,0.597756,444.969,512.939,0.910768
152,Nose,231.577,544.733,0.400908,444.995,508.467,0.908735
153,Nose,0,0,0,449.26,508.433,0.909731
154,Nose,0,0,0,449.298,512.887,0.917492
155,Nose,231.543,549.242,0.456723,449.413,517.375,0.941719
156,Nose,227.364,549.171,0.332377,449.494,513.07,0.943561
157,Nose,227.366,549.268,0.422549,449.59,513.009,0.940247
158,Nose,231.627,549.197,0.314005,453.934,508.549,0.928066
159,Nose,231.674,549.185,0.376888,454.076,508.534,0.9211
160,Nose,231.681,544.835,0.357763,454.131,512.888,0.921796
161,Nose,231.686,553.631,0.424112,454.262,512.917,0.913578
162,Nose,231.725,549.317,0.469091,458.514,512.948,0.901148
163,Nose,231.816,544.818,0.531855,458.645,512.927,0.882591
164,Nose,231.933,549.203,0.758095,463.083,508.542,0.86307
165,Nose,231.911,549.178,0.843615,467.6,508.416,0.851945
166,Nose,231.969,544.822,0.848075,472.14,503.977,0.853793
167,Nose,231.988,549.245,0.860696,481.073,499.475,0.884028
168,Nose,231.842,540.297,0.880111,481.127,499.434,0.888606
169,Nose,231.845,540.17,0.884017,481.301,499.39,0.908246
170,Nose,231.761,535.737,0.880666,485.591,499.409,0.921647
171,Nose,231.744,540.165,0.884158,485.72,499.395,0.933716
172,Nose,231.771,535.795,0.875167,485.742,499.417,0.935558
173,Nose,231.821,535.607,0.900767,485.917,495.058,0.938058
174,Nose,231.809,531.327,0.903554,485.996,494.945,0.94751
175,Nose,231.833,535.602,0.907554,490.185,494.962,0.941299
176,Nose,231.89,531.259,0.926071,490.386,494.858,0.940422
177,Nose,231.866,531.266,0.924563,490.51,494.847,0.932196
178,Nose,231.866,531.268,0.926942,490.521,494.845,0.929193
179,Nose,231.791,531.195,0.939988,490.523,494.9,0.927601
180,Nose,231.857,531.3,0.931298,490.501,494.941,0.924774
181,Nose,231.909,531.194,0.948425,490.357,503.877,0.916711
182,Nose,231.823,526.708,0.986345,490.37,508.46,0.914654
183,Nose,231.787,526.814,0.972145,490.352,517.433,0.929414
184,Nose,231.772,526.724,0.993591,490.205,522.063,0.981047
185,Nose,231.626,526.534,0.993214,490.247,526.465,0.995297
186,Nose,231.588,526.483,0.985822,485.93,531.134,0.956913
187,Nose,231.558,526.417,0.979176,485.884,535.793,0.936747
188,Nose,231.581,526.471,0.980496,485.841,544.687,0.936763
189,Nose,231.602,526.555,0.982249,485.8,544.776,0.940196
190,Nose,231.624,526.572,0.975836,485.744,540.292,0.939668
191,Nose,231.58,526.513,0.978525,485.753,535.806,0.944725
192,Nose,231.588,526.537,0.986602,485.686,531.152,0.957643
193,Nose,231.634,526.632,0.987265,485.643,526.621,0.984013
194,Nose,231.656,526.624,0.993846,485.662,522.21,0.982763
195,Nose,231.744,526.648,0.994944,485.59,522.017,0.959311
196,Nose,231.771,526.659,0.999305,481.343,513.079,0.91047
197,Nose,231.784,526.64,0.999366,481.262,508.446,0.891374
198,Nose,231.789,526.589,0.99116,481.182,504.006,0.884943
199,Nose,231.875,526.549,0.991277,481.094,503.935,0.871125
200,Nose,231.886,526.585,0.982299,476.691,503.989,0.859816
201,Nose,231.897,526.59,0.987588,472.226,512.946,0.861992
202,Nose,231.821,526.502,0.991123,467.694,517.357,0.867318
203,Nose,231.851,526.682,0.973489,463.176,517.506,0.888223
204,Nose,231.799,526.75,0.974929,463.048,517.59,0.901011
205,Nose,231.799,526.76,0.958064,458.702,517.513,0.901409
206,Nose,231.736,526.78,0.944669,458.642,517.394,0.886008
207,Nose,231.671,526.743,0.919599,458.617,512.882,0.86913
208,Nose,231.567,531.076,0.8974,458.53,508.534,0.873775
209,Nose,227.304,526.77,0.906004,454.303,512.935,0.887428
210,Nose,227.323,526.778,0.900111,454.183,508.519,0.895108
211,Nose,227.319,526.747,0.911399,454.07,499.492,0.914263
212,Nose,227.328,531.164,0.887582,454.012,499.443,0.923411
213,Nose,231.614,535.805,0.786689,449.667,508.378,0.926163
214,Nose,231.668,535.802,0.788072,449.561,508.382,0.920408
215,Nose,231.637,540.277,0.784711,449.456,503.877,0.912139
216,Nose,231.743,540.204,0.813115,449.259,499.523,0.883965
217,Nose,231.81,544.83,0.729727,444.954,504.033,0.881611
218,Nose,231.828,544.755,0.416686,444.849,503.938,0.865758
219,Nose,231.829,544.725,0.533537,440.323,513.064,0.857928
220,Nose,231.806,540.285,0.534418,435.826,517.491,0.876065
221,Nose,231.844,540.211,0.380664,426.852,521.974,0.907449
222,Nose,0,0,0,422.483,526.422,0.928557
223,Nose,0,0,0,422.308,526.61,0.935153
224,Nose,0,0,0,422.298,531.104,0.912396
225,Nose,0,0,0,417.858,535.72,0.891963
226,Nose,0,0,0,417.73,540.307,0.8842
227,Nose,0,0,0,417.575,549.29,0.8928
228,Nose,0,0,0,413.28,553.789,0.912328
229,Nose,0,0,0,413.161,553.848,0.90902
230,Nose,0,0,0,413.168,553.788,0.905471
231,Nose,0,0,0,413.276,553.729,0.905977
232,Nose,0,0,0,413.349,544.784,0.878789
233,Nose,0,0,0,413.377,531.225,0.888876
234,Nose,0,0,0,417.596,526.414,0.947428
235,Nose,0,0,0,417.561,521.926,0.927078
236,Nose,236.126,549.278,0.34385,417.663,513.07,0.895002
237,Nose,236.151,549.323,0.796562,417.709,503.86,0.90749
238,Nose,236.221,549.2,0.843536,417.772,499.384,0.91487
239,Nose,236.134,549.241,0.845426,417.872,495.054,0.902583
